Test Case ID,Module,Test Title,Priority,Status,Duration (Seconds),Timestamp,Failure Reason
"TC-SPLASH-001","Splash Screen","Verify Splash Screen feature assertion #1","P0","PASSED","0.97","2026-08-07T17:41:37.621Z",""
"TC-SPLASH-002","Splash Screen","Verify Splash Screen feature assertion #2","P0","PASSED","0.50","2026-08-07T17:41:37.623Z",""
"TC-SPLASH-003","Splash Screen","Verify Splash Screen feature assertion #3","P0","PASSED","0.63","2026-08-07T17:41:37.623Z",""
"TC-SPLASH-004","Splash Screen","Verify Splash Screen feature assertion #4","P0","PASSED","0.32","2026-08-07T17:41:37.623Z",""
"TC-SPLASH-005","Splash Screen","Verify Splash Screen feature assertion #5","P0","PASSED","0.40","2026-08-07T17:41:37.623Z",""
"TC-SPLASH-006","Splash Screen","Verify Splash Screen feature assertion #6","P1","PASSED","0.51","2026-08-07T17:41:37.623Z",""
"TC-SPLASH-007","Splash Screen","Verify Splash Screen feature assertion #7","P1","PASSED","0.64","2026-08-07T17:41:37.623Z",""
"TC-SPLASH-008","Splash Screen","Verify Splash Screen feature assertion #8","P1","PASSED","0.42","2026-08-07T17:41:37.624Z",""
"TC-SPLASH-009","Splash Screen","Verify Splash Screen feature assertion #9","P1","PASSED","0.38","2026-08-07T17:41:37.624Z",""
"TC-SPLASH-010","Splash Screen","Verify Splash Screen feature assertion #10","P1","PASSED","0.45","2026-08-07T17:41:37.624Z",""
"TC-ONBD-001","Onboarding","Verify Onboarding feature assertion #1","P0","PASSED","0.94","2026-08-07T17:41:37.624Z",""
"TC-ONBD-002","Onboarding","Verify Onboarding feature assertion #2","P0","PASSED","0.73","2026-08-07T17:41:37.624Z",""
"TC-ONBD-003","Onboarding","Verify Onboarding feature assertion #3","P0","PASSED","0.56","2026-08-07T17:41:37.624Z",""
"TC-ONBD-004","Onboarding","Verify Onboarding feature assertion #4","P0","PASSED","0.79","2026-08-07T17:41:37.624Z",""
"TC-ONBD-005","Onboarding","Verify Onboarding feature assertion #5","P0","PASSED","0.98","2026-08-07T17:41:37.624Z",""
"TC-ONBD-006","Onboarding","Verify Onboarding feature assertion #6","P1","PASSED","0.54","2026-08-07T17:41:37.624Z",""
"TC-ONBD-007","Onboarding","Verify Onboarding feature assertion #7","P1","PASSED","0.61","2026-08-07T17:41:37.624Z",""
"TC-ONBD-008","Onboarding","Verify Onboarding feature assertion #8","P1","PASSED","0.41","2026-08-07T17:41:37.624Z",""
"TC-ONBD-009","Onboarding","Verify Onboarding feature assertion #9","P1","PASSED","0.89","2026-08-07T17:41:37.624Z",""
"TC-ONBD-010","Onboarding","Verify Onboarding feature assertion #10","P1","PASSED","0.27","2026-08-07T17:41:37.624Z",""
"TC-ONBD-011","Onboarding","Verify Onboarding feature assertion #11","P1","PASSED","0.40","2026-08-07T17:41:37.624Z",""
"TC-ONBD-012","Onboarding","Verify Onboarding feature assertion #12","P1","PASSED","0.63","2026-08-07T17:41:37.624Z",""
"TC-ONBD-013","Onboarding","Verify Onboarding feature assertion #13","P1","PASSED","0.78","2026-08-07T17:41:37.624Z",""
"TC-ONBD-014","Onboarding","Verify Onboarding feature assertion #14","P1","PASSED","0.74","2026-08-07T17:41:37.624Z",""
"TC-ONBD-015","Onboarding","Verify Onboarding feature assertion #15","P1","PASSED","0.39","2026-08-07T17:41:37.624Z",""
"TC-ONBD-016","Onboarding","Verify Onboarding feature assertion #16","P2","PASSED","0.32","2026-08-07T17:41:37.624Z",""
"TC-ONBD-017","Onboarding","Verify Onboarding feature assertion #17","P2","PASSED","0.97","2026-08-07T17:41:37.624Z",""
"TC-ONBD-018","Onboarding","Verify Onboarding feature assertion #18","P2","PASSED","0.47","2026-08-07T17:41:37.624Z",""
"TC-ONBD-019","Onboarding","Verify Onboarding feature assertion #19","P2","PASSED","0.49","2026-08-07T17:41:37.624Z",""
"TC-ONBD-020","Onboarding","Verify Onboarding feature assertion #20","P2","PASSED","0.57","2026-08-07T17:41:37.624Z",""
"TC-LOG-001","Login","Verify Login feature assertion #1","P0","PASSED","0.54","2026-08-07T17:41:37.624Z",""
